[info]
release_number=16
release_name=Verne
release_date=2011-11-08

[yum_data]
# Week,Total Unique IP
title=Yum data
data_type=Total Unique IP
data :
    1,126500
    2,213457
    3,296134
    4,378113
    5,457934
    6,540572
    7,621608
    8,703226
    9,786188
    10,874655
    11,957655
    12,1040119
    13,1137508
    14,1234278
    15,1332606
    16,1432098
    17,1531930
    18,1631638
    19,1729892
    20,1828577
    21,1926900
    22,2023610
    23,2122210
    24,2218659
    25,2313203
    26,2405930
    27,2495075
    28,2581183
    29,2664972

[direct_download]
# Week,Total Downloads
data:
    1,179301
    2,288335
    3,377339
    4,459256
    5,531840
    6,604696
    7,671392
    8,734938
    9,800427
    10,871551
    11,935883
    12,1006643
    13,1080706
    14,1155212
    15,1230172
    16,1305437
    17,1383580
    18,1457183
    19,1527971
    20,1597030
    21,1663630
    22,1727638
    23,1791749
    24,1855322
    25,1917543
    26,1975563
    27,2032931
    28,2089032
    29,2143906
