[info]
release_number=17
release_name=Beefy Miracle
release_date=2012-05-29

[yum_data]
# Week,Total Unique IP
title=Yum data
data_type=Total Unique IP
data :
    1,169731 
    2,250390
    3,329809
    4,410708
    5,492634
    6,576532
    7,663474
    8,749067
    9,831675
    10,916331
    11,1001015
    12,1087510
    13,1175894
    14,1266971
    15,1359594
    16,1454742
    17,1551643
    18,1649860
    19,1748981
    20,1850686
    21,1953247
    22,2058310
    23,2163944
    24,2269186
    25,2370168
    26,2473246
    27,2577139
    28,2663918
    29,2779553
    30,2878556
    31,2972919

[direct_download]
# Week,Total Downloads
data:
    1,152438
    2,241970
    3,316877
    4,387947
    5,454723
    6,518266
    7,582605
    8,648451
    9,706358
    10,761428
    11,815124
    12,867500
    13,921931
    14,977670
    15,1037933
    16,1101132
    17,1159579
    18,1217406
    19,1275940
    20,1333819
    21,1394380
    22,1454686
    23,1513094
    24,1571988
    25,1627125
    26,1682192
    27,1736448
    28,1781218
    29,1831881
    30,1880439
    31,1927634

