[info]
release_number=11
release_name=Leonidas
release_date=2009-06-09

[yum_data]
# Week,Total Unique IP
title=Yum data
data_type=Total Unique IP
data :
    1,105748
    2,195237
    3,276006
    4,368799
    5,451319
    6,548879
    7,649535
    8,751708
    9,855456
    10,960037
    11,1068055
    12,1180932
    13,1295683
    14,1412715
    15,1531237
    16,1649581
    17,1768750
    18,1889089
    19,2010373
    20,2132501
    21,2252814
    22,2372198
    23,2488092

[direct_download]
# Week,Total Downloads
data:
    1,198213
    2,281842
    3,341700
    4,404095
    5,460033
    6,519737
    7,577216
    8,632870
    9,688077
    10,740897
    11,794424
    12,850238
    13,905898
    14,962815
    15,1018952
    16,1074963
    17,1128028
    18,1182501
    19,1236162
    20,1292145
    21,1344919
    22,1394520
    23,1441906
