[info]
release_number=14
release_name=Laughlin
release_date=2010-11-02

[yum_data]
# Week,Total Unique IP
title=Yum data
data_type=Total Unique IP
data :
    1,90118
    2,180927
    3,271138
    4,362139
    5,447960
    6,539776
    7,632829
    8,720198
    9,804830
    10,896273
    11,988570
    12,1083412
    13,1178463
    14,1277417
    15,1380364
    16,1484606
    17,1586476
    18,1695056
    19,1804550
    20,1913384
    21,2026245
    22,2145882
    23,2267115
    24,2390832
    25,2509399

[direct_download]
# Week,Total Downloads
data:
    1,151772
    2,248413
    3,326809
    4,396142
    5,454980
    6,513241
    7,567842
    8,618748
    9,667495
    10,722050
    11,776699
    12,832872
    13,886026
    14,939156
    15,994892
    16,1050167
    17,1105196
    18,1162495
    19,1218359
    20,1271074
    21,1326135
    22,1383566
    23,1445485
    24,1505309
    25,1560872
    26,1617258
    27,1673870
    28,1729380
    29,1785184

