[info]
release_number=10
release_name=Cambridge
release_date=2008-11-25

[yum_data]
# Week,Total Unique IP
title=Yum data
data_type=Total Unique IP
data :
    1,67421
    2,149095
    3,209854
    4,272381
    5,340756
    6,414341
    7,508507
    8,594064
    9,681742
    10,772756
    11,867994
    12,963961
    13,1073761
    14,1159007
    15,1259617
    16,1359940
    17,1460759
    18,1563602
    19,1665580
    20,1765166
    21,1866974
    22,1967177
    23,2064761
    24,2160684
    25,2256316
    26,2348693
    27,2440440
    28,2531953


[direct_download]
# Week,Total Downloads
data:
    1,236886
    2,342880
    3,426620
    4,503602
    5,569953
    6,635055
    7,707784
    8,781085
    9,853167
    10,924955
    11,997484
    12,1066555
    13,1135771
    14,1203440
    15,1270106
    16,1335630
    17,1398848
    18,1461778
    19,1521591
    20,1578693
    21,1634564
    22,1689681
    23,1740496
    24,1788635
    25,1836448
    26,1882525
    27,1927494
    28,1972329
