[info]
release_number=12
release_name=Constantine
release_date=2009-11-17

[yum_data]
# Week,Total Unique IP
title=Yum data
data_type=Total Unique IP
data :
    1,91620
    2,179858
    3,268052
    4,357674
    5,447889
    6,537586
    7,627682
    8,726313
    9,827736
    10,922470
    11,1030643
    12,1144302
    13,1258195
    14,1375283
    15,1452976
    16,1577936
    17,1705036
    18,1830624
    19,1955573
    20,2077313
    21,2200311
    22,2324397
    23,2440427
    24,2543314
    25,2648546
    26,2765447
    27,2878629


[direct_download]
# Week,Total Downloads
data:
    1,154804
    2,239176
    3,308005
    4,369616
    5,426577
    6,477725
    7,527205
    8,581873
    9,639738
    10,697436
    11,755221
    12,812507
    13,867439
    14,922242
    15,978775
    16,1036570
    17,1092058
    18,1143254
    19,1192929
    20,1240299
    21,1288132
    22,1335366
    23,1376590
    24,1409535
    25,1444640
    26,1486587
    27,1526105
